Designator,Footprint,Quantity,Value,LCSC Part #
H1,wirebase_footprint,1,A1,
H10,wirebase_footprint,1,C2,
H11,wirebase_footprint,1,C3,
H12,wirebase_footprint,1,C4,
H13,wirebase_footprint,1,D1,
H14,wirebase_footprint,1,D2,
H15,wirebase_footprint,1,D3,
H16,wirebase_footprint,1,D4,
H2,wirebase_footprint,1,A2,
"H21, H22, H23, H24",MountingHole_3mm_Pad_TopBottom,4,MountingHole_Pad,
H3,wirebase_footprint,1,A3,
H4,wirebase_footprint,1,A4,
H5,wirebase_footprint,1,B1,
H6,wirebase_footprint,1,B2,
H7,wirebase_footprint,1,B3,
H8,wirebase_footprint,1,B4,
H9,wirebase_footprint,1,C1,
J1,BarrelJack_Horizontal,1,Barrel_Jack,
L1,wirebase_footprint,1,Layer1,
L2,wirebase_footprint,1,Layer2,
L3,wirebase_footprint,1,Layer3,
L4,wirebase_footprint,1,Layer4,
U1,WEMOS_D1_mini_light,1,WeMos_D1_mini,
"U2, U3",DIP-16_W7.62mm,2,74HC595,
